"No.","average","variance"
"0","70","1.2909944487358056"
"1","71","6.713171133426189"
"2","73","1.6782927833565473"
"3","73","1.6782927833565473"
"4","73","1.6782927833565473"
"5","73","6.454972243679028"
"6","73","1.6782927833565473"
"7","73","1.6782927833565473"
"8","70","1.2909944487358056"
"9","69","1.161895003862225"
"10","69","1.161895003862225"
"11","72","1.5491933384829668"
"12","73","6.454972243679028"
"13","71","1.420093893609386"
"14","72","8.649662806529898"
"15","72","1.5491933384829668"
"16","72","1.5491933384829668"
"17","69","1.161895003862225"
"18","69","1.161895003862225"
"19","69","1.161895003862225"
"20","71","1.420093893609386"
"21","72","1.5491933384829668"
"22","73","6.454972243679028"
"23","72","1.5491933384829668"
"24","71","1.420093893609386"
"25","72","1.5491933384829668"
"26","69","1.161895003862225"
"27","69","1.161895003862225"
"28","71","1.420093893609386"
"29","72","1.5491933384829668"
"30","72","1.5491933384829668"
"31","72","6.5840716885526085"
"32","73","1.6782927833565473"
"33","72","1.5491933384829668"
"34","71","1.420093893609386"
"35","69","1.161895003862225"
"36","71","1.420093893609386"
"37","72","1.5491933384829668"
"38","73","1.6782927833565473"
"39","73","1.6782927833565473"
"40","73","6.454972243679028"
"41","73","1.6782927833565473"
"42","73","1.6782927833565473"
"43","71","1.420093893609386"
"44","69","1.161895003862225"
"45","69","1.161895003862225"
"46","71","1.420093893609386"
"47","72","1.5491933384829668"
"48","71","1.420093893609386"
"49","72","8.649662806529898"
"50","72","1.5491933384829668"
"51","73","1.6782927833565473"
"52","70","1.2909944487358056"
"53","71","1.420093893609386"
"54","72","1.5491933384829668"
"55","72","1.5491933384829668"
"56","72","1.5491933384829668"
"57","72","1.5491933384829668"
"58","72","1.5491933384829668"
"59","72","1.5491933384829668"
"60","72","1.5491933384829668"
"61","69","1.161895003862225"
"62","75","1.9364916731037085"
"63","75","6.196773353931867"
"64","75","1.9364916731037085"
"65","74","1.8073922282301278"
"66","74","1.8073922282301278"
"67","75","6.196773353931867"
"68","71","1.420093893609386"
"69","71","8.778762251403478"
"70","71","1.420093893609386"
"71","73","1.6782927833565473"
"72","73","1.6782927833565473"
"73","74","1.8073922282301278"
"74","73","1.6782927833565473"
"75","73","1.6782927833565473"
"76","75","1.9364916731037085"
"77","73","1.6782927833565473"
"78","72","1.5491933384829668"
"79","73","1.6782927833565473"
"80","74","6.325872798805447"
"81","74","6.325872798805447"
"82","72","1.5491933384829668"
"83","72","1.5491933384829668"
"84","73","1.6782927833565473"
"85","69","1.161895003862225"
"86","69","1.161895003862225"
"87","68","1.0327955589886444"
"88","71","1.420093893609386"
"89","71","1.420093893609386"
"90","72","1.5491933384829668"
"91","72","1.5491933384829668"
"92","72","1.5491933384829668"
"93","73","6.454972243679028"
"94","70","1.2909944487358056"
"95","70","1.2909944487358056"
"96","73","1.6782927833565473"
"97","74","6.325872798805447"
"98","73","1.6782927833565473"
"99","72","1.5491933384829668"
"100","74","1.8073922282301278"
"101","75","6.196773353931867"
"102","71","1.420093893609386"
"103","71","1.420093893609386"
"104","74","1.8073922282301278"
"105","74","1.8073922282301278"
"106","73","1.6782927833565473"
"107","73","1.6782927833565473"
"108","75","13.942740046346701"
"109","74","1.8073922282301278"
"110","71","6.713171133426189"
"111","71","1.420093893609386"
"112","70","1.2909944487358056"
"113","74","1.8073922282301278"
"114","72","1.5491933384829668"
"115","73","6.454972243679028"
"116","72","1.5491933384829668"
"117","73","1.6782927833565473"
"118","74","1.8073922282301278"
"119","69","1.161895003862225"
"120","71","1.420093893609386"
"121","73","6.454972243679028"
"122","74","1.8073922282301278"
"123","74","1.8073922282301278"
"124","74","1.8073922282301278"
"125","74","1.8073922282301278"
"126","76","8.133265027035575"
"127","73","1.6782927833565473"
"128","73","6.454972243679028"
"129","74","1.8073922282301278"
"130","75","1.9364916731037085"
"131","75","1.9364916731037085"
"132","72","1.5491933384829668"
"133","73","1.6782927833565473"
"134","74","1.8073922282301278"
"135","72","1.5491933384829668"
"136","71","1.420093893609386"
"137","73","1.6782927833565473"
"138","74","1.8073922282301278"
"139","74","6.325872798805447"
"140","72","1.5491933384829668"
"141","73","6.454972243679028"
"142","72","1.5491933384829668"
"143","71","6.713171133426189"
"144","70","1.2909944487358056"
"145","72","1.5491933384829668"
"146","75","1.9364916731037085"
"147","74","1.8073922282301278"
"148","75","1.9364916731037085"
"149","73","1.6782927833565473"
"150","74","1.8073922282301278"
"151","72","1.5491933384829668"
"152","69","1.161895003862225"
"153","71","1.420093893609386"
"154","74","1.8073922282301278"
"155","74","1.8073922282301278"
"156","76","2.065591117977289"
"157","76","2.065591117977289"
"158","76","2.065591117977289"
"159","75","1.9364916731037085"
"160","71","1.420093893609386"
"161","71","1.420093893609386"
"162","73","1.6782927833565473"
"163","74","1.8073922282301278"
"164","74","6.325872798805447"
"165","74","1.8073922282301278"
"166","75","1.9364916731037085"
"167","75","1.9364916731037085"
"168","71","6.713171133426189"
"169","74","1.8073922282301278"
"170","76","2.065591117977289"
"171","76","2.065591117977289"
