"No.","average","variance","class"
0,72,1.5491933384829668,label
1,71,1.420093893609386,label
2,74,1.8073922282301278,label
3,74,1.8073922282301278,label
4,75,1.9364916731037085,label
5,75,1.9364916731037085,label
6,71,1.420093893609386,label
7,74,1.8073922282301278,label
8,73,1.6782927833565473,label
9,69,1.161895003862225,label
10,72,1.5491933384829668,label
11,73,1.6782927833565473,label
12,73,1.6782927833565473,label
13,75,1.9364916731037085,label
14,77,2.1946905628508695,label
15,74,6.325872798805447,label
16,74,1.8073922282301278,label
17,74,1.8073922282301278,label
18,75,6.196773353931867,label
19,76,2.065591117977289,label
20,72,1.5491933384829668,label
21,74,1.8073922282301278,label
22,74,1.8073922282301278,label
23,72,6.5840716885526085,label
24,73,1.6782927833565473,label
25,72,6.5840716885526085,label
26,72,1.5491933384829668,label
27,74,8.391463916782737,label
28,73,1.6782927833565473,label
29,73,1.6782927833565473,label
30,73,1.6782927833565473,label
31,71,6.713171133426189,label
32,73,1.6782927833565473,label
33,73,1.6782927833565473,label
34,72,6.5840716885526085,label
35,72,1.5491933384829668,label
36,71,1.420093893609386,label
37,71,8.778762251403478,label
38,72,1.5491933384829668,label
39,72,1.5491933384829668,label
40,71,1.420093893609386,label
41,73,1.6782927833565473,label
42,75,1.9364916731037085,label
43,73,1.6782927833565473,label
44,74,1.8073922282301278,label
45,74,1.8073922282301278,label
46,74,6.325872798805447,label
47,72,1.5491933384829668,label
48,71,6.713171133426189,label
49,73,1.6782927833565473,label
50,73,6.454972243679028,label
51,71,1.420093893609386,label
52,72,6.5840716885526085,label
53,72,1.5491933384829668,label
54,71,1.420093893609386,label
55,74,16.137430609197573,label
56,71,1.420093893609386,label
57,72,1.5491933384829668,label
58,73,1.6782927833565473,label
59,69,1.161895003862225,label
60,71,1.420093893609386,label
61,73,6.454972243679028,label
62,73,1.6782927833565473,label
63,73,6.454972243679028,label
64,71,1.420093893609386,label
65,71,1.420093893609386,label
66,75,1.9364916731037085,label
67,75,1.9364916731037085,label
68,73,1.6782927833565473,label
69,73,1.6782927833565473,label
70,73,1.6782927833565473,label
71,74,1.8073922282301278,label
72,73,1.6782927833565473,label
73,71,1.420093893609386,label
74,72,1.5491933384829668,label
