"No.","average","variance","class"
0,70,1.2909944487358056,label
1,73,1.6782927833565473,label
2,73,1.6782927833565473,label
3,69,1.161895003862225,label
4,73,6.454972243679028,label
5,72,1.5491933384829668,label
6,69,1.161895003862225,label
7,72,1.5491933384829668,label
8,71,1.420093893609386,label
9,69,1.161895003862225,label
10,72,1.5491933384829668,label
11,72,1.5491933384829668,label
12,71,1.420093893609386,label
13,73,1.6782927833565473,label
14,73,1.6782927833565473,label
15,69,1.161895003862225,label
16,71,1.420093893609386,label
17,73,1.6782927833565473,label
18,72,1.5491933384829668,label
19,72,1.5491933384829668,label
20,72,1.5491933384829668,label
21,75,6.196773353931867,label
22,74,1.8073922282301278,label
23,71,8.778762251403478,label
24,73,1.6782927833565473,label
25,73,1.6782927833565473,label
26,72,1.5491933384829668,label
27,74,6.325872798805447,label
28,73,1.6782927833565473,label
29,68,1.0327955589886444,label
30,72,1.5491933384829668,label
31,73,6.454972243679028,label
32,73,1.6782927833565473,label
33,72,1.5491933384829668,label
34,71,1.420093893609386,label
35,74,1.8073922282301278,label
36,75,13.942740046346701,label
37,71,1.420093893609386,label
38,72,1.5491933384829668,label
39,73,1.6782927833565473,label
40,71,1.420093893609386,label
41,74,1.8073922282301278,label
42,76,8.133265027035575,label
43,74,1.8073922282301278,label
44,72,1.5491933384829668,label
45,72,1.5491933384829668,label
46,74,1.8073922282301278,label
47,73,6.454972243679028,label
48,70,1.2909944487358056,label
49,74,1.8073922282301278,label
50,74,1.8073922282301278,label
51,71,1.420093893609386,label
52,76,2.065591117977289,label
53,75,1.9364916731037085,label
54,73,1.6782927833565473,label
55,74,1.8073922282301278,label
56,71,6.713171133426189,label
57,76,2.065591117977289,label
58,79,2.4528894525980305,label
59,73,1.6782927833565473,label
60,72,1.5491933384829668,label
61,72,1.5491933384829668,label
62,72,1.5491933384829668,label
63,73,6.454972243679028,label
64,71,1.420093893609386,label
65,72,1.5491933384829668,label
66,74,1.8073922282301278,label
67,72,1.5491933384829668,label
68,74,1.8073922282301278,label
69,73,1.6782927833565473,label
70,70,1.2909944487358056,label
71,73,1.6782927833565473,label
72,71,1.420093893609386,label
73,68,1.0327955589886444,label
74,72,1.5491933384829668,label
75,76,2.065591117977289,label
76,75,1.9364916731037085,label
77,72,1.5491933384829668,label
78,72,6.5840716885526085,label
79,71,1.420093893609386,label
80,74,1.8073922282301278,label
81,77,15.750132274576828,label
82,74,1.8073922282301278,label
83,71,1.420093893609386,label
84,68,1.0327955589886444,label
85,71,1.420093893609386,label
86,72,1.5491933384829668,label
87,71,1.420093893609386,label
88,72,1.5491933384829668,label
89,71,1.420093893609386,label
90,68,1.0327955589886444,label
91,72,6.5840716885526085,label
92,72,1.5491933384829668,label
93,69,1.161895003862225,label
94,73,1.6782927833565473,label
95,73,1.6782927833565473,label
96,71,1.420093893609386,label
97,77,8.004165582161995,label
98,78,2.32379000772445,label
99,74,1.8073922282301278,label
100,74,6.325872798805447,label
101,72,1.5491933384829668,label
102,72,1.5491933384829668,label
103,72,1.5491933384829668,label
104,73,6.454972243679028,label
105,73,1.6782927833565473,label
106,72,1.5491933384829668,label
107,71,6.713171133426189,label
108,72,1.5491933384829668,label
109,71,1.420093893609386,label
110,72,1.5491933384829668,label
111,73,1.6782927833565473,label
112,72,6.5840716885526085,label
113,72,1.5491933384829668,label
114,70,1.2909944487358056,label
115,68,1.0327955589886444,label
116,71,1.420093893609386,label
117,75,8.262364471909155,label
118,71,1.420093893609386,label
119,79,12.522646152737314,label
120,91,10.973452814254347,label
121,111,1.5491933384829668,label
122,112,5.163977794943222,label
123,85,1.6782927833565473,label
124,79,6.84227057829977,label
125,78,1.0327955589886444,label
126,78,0.7745966692414834,label
127,78,0.7745966692414834,label
128,85,1.6782927833565473,label
129,86,1.8073922282301278,label
130,143,10.715253924507186,label
131,141,10.457055034760025,label
132,73,1.6782927833565473,label
133,72,1.5491933384829668,label
134,72,1.5491933384829668,label
135,71,1.420093893609386,label
136,73,1.6782927833565473,label
137,73,1.6782927833565473,label
138,72,1.5491933384829668,label
139,73,1.6782927833565473,label
140,72,1.5491933384829668,label
141,74,1.8073922282301278,label
142,73,1.6782927833565473,label
143,72,6.5840716885526085,label
144,74,8.391463916782737,label
145,71,1.420093893609386,label
146,69,1.161895003862225,label
147,74,6.325872798805447,label
148,75,1.9364916731037085,label
149,72,1.5491933384829668,label
150,73,1.6782927833565473,label
151,75,1.9364916731037085,label
152,75,18.977618396416343,label
153,73,1.6782927833565473,label
154,70,1.2909944487358056,label
155,73,1.6782927833565473,label
156,73,1.6782927833565473,label
157,69,1.161895003862225,label
158,72,1.5491933384829668,label
159,74,1.8073922282301278,label
160,73,6.454972243679028,label
161,76,6.0676739090582865,label
162,76,6.0676739090582865,label
163,72,1.5491933384829668,label
164,72,1.5491933384829668,label
165,75,6.196773353931867,label
166,77,2.1946905628508695,label
167,74,6.325872798805447,label
168,72,6.5840716885526085,label
169,72,1.5491933384829668,label
170,73,1.6782927833565473,label
171,73,1.6782927833565473,label
172,74,6.325872798805447,label
173,74,1.8073922282301278,label
174,71,1.420093893609386,label
175,74,1.8073922282301278,label
176,75,1.9364916731037085,label
177,74,6.325872798805447,label
178,72,1.5491933384829668,label
179,72,6.196773353931867,label
180,74,1.8073922282301278,label
181,72,1.5491933384829668,label
182,69,1.161895003862225,label
183,72,8.649662806529898,label
184,72,1.5491933384829668,label
185,69,1.161895003862225,label
186,73,1.6782927833565473,label
187,75,1.9364916731037085,label
188,74,1.8073922282301278,label
189,75,6.196773353931867,label
190,75,1.9364916731037085,label
191,75,6.196773353931867,label
192,73,1.6782927833565473,label
193,71,1.420093893609386,label
194,73,1.6782927833565473,label
195,72,6.5840716885526085,label
196,69,1.161895003862225,label
197,72,1.5491933384829668,label
198,72,1.5491933384829668,label
199,70,1.2909944487358056,label
200,75,1.9364916731037085,label
201,75,1.9364916731037085,label
202,79,2.4528894525980305,label
203,78,5.809475019311125,label
204,69,1.161895003862225,label
205,72,19.364916731037084,label
206,72,1.5491933384829668,label
207,69,1.161895003862225,label
208,72,1.5491933384829668,label
209,73,1.6782927833565473,label
210,70,1.2909944487358056,label
211,72,1.5491933384829668,label
212,72,1.5491933384829668,label
213,69,1.161895003862225,label
214,74,1.8073922282301278,label
215,74,1.8073922282301278,label
216,69,1.161895003862225,label
217,72,1.5491933384829668,label
218,73,1.6782927833565473,label
219,70,1.2909944487358056,label
220,75,6.196773353931867,label
221,74,1.8073922282301278,label
222,71,1.420093893609386,label
223,71,1.420093893609386,label
224,69,1.161895003862225,label
225,73,1.6782927833565473,label
226,77,2.1946905628508695,label
227,73,1.6782927833565473,label
228,75,1.9364916731037085,label
229,75,1.9364916731037085,label
230,68,1.0327955589886444,label
231,72,1.5491933384829668,label
232,73,1.6782927833565473,label
233,73,1.6782927833565473,label
234,73,1.6782927833565473,label
235,71,1.420093893609386,label
236,73,1.6782927833565473,label
237,75,6.196773353931867,label
238,72,6.5840716885526085,label
239,75,13.942740046346701,label
240,74,1.8073922282301278,label
241,71,1.420093893609386,label
242,73,1.6782927833565473,label
243,72,1.5491933384829668,label
244,71,1.420093893609386,label
245,75,1.9364916731037085,label
246,73,1.6782927833565473,label
247,71,6.713171133426189,label
248,73,1.6782927833565473,label
249,73,1.6782927833565473,label
250,71,1.420093893609386,label
251,71,1.420093893609386,label
252,71,1.420093893609386,label
253,69,1.161895003862225,label
254,73,6.454972243679028,label
255,73,1.6782927833565473,label
256,72,1.5491933384829668,label
257,73,1.6782927833565473,label
258,71,1.420093893609386,label
259,73,1.6782927833565473,label
260,72,1.5491933384829668,label
261,71,1.420093893609386,label
262,74,6.325872798805447,label
263,73,6.454972243679028,label
264,72,1.5491933384829668,label
265,73,6.454972243679028,label
266,71,1.420093893609386,label
267,71,1.420093893609386,label
268,74,1.8073922282301278,label
269,76,8.133265027035575,label
270,74,19.106717841289925,label
271,71,1.420093893609386,label
272,69,1.161895003862225,label
273,72,1.5491933384829668,label
274,73,1.6782927833565473,label
275,69,1.161895003862225,label
276,71,1.420093893609386,label
277,73,1.6782927833565473,label
278,70,1.2909944487358056,label
279,71,1.420093893609386,label
280,71,1.420093893609386,label
281,71,1.420093893609386,label
282,74,1.8073922282301278,label
283,73,1.6782927833565473,label
284,72,14.330038380967443,label
285,75,1.9364916731037085,label
286,73,1.6782927833565473,label
287,71,1.420093893609386,label
288,75,1.9364916731037085,label
289,76,2.065591117977289,label
290,74,1.8073922282301278,label
291,73,1.6782927833565473,label
292,71,1.420093893609386,label
293,72,1.5491933384829668,label
