"No.","average","variance","class"
0,73,2.37346441585572,label
1,71,2.008316044185609,label
2,71,2.008316044185609,label
3,71,2.008316044185609,label
4,71,2.008316044185609,label
5,73,2.37346441585572,label
6,71,2.008316044185609,label
7,77,3.1037611591959413,label
8,78,8.215838362577491,label
9,78,3.286335345030997,label
10,71,9.49385766342288,label
11,71,2.008316044185609,label
12,71,2.008316044185609,label
13,71,2.008316044185609,label
14,71,2.008316044185609,label
15,80,3.6514837167011076,label
16,78,3.286335345030997,label
17,80,10.771876964268268,label
18,71,2.008316044185609,label
19,73,2.37346441585572,label
20,70,9.676431849257934,label
21,71,2.008316044185609,label
22,71,2.008316044185609,label
23,74,27.020979503588194,label
24,78,3.286335345030997,label
25,76,2.9211869733608857,label
26,73,2.37346441585572,label
27,68,1.4605934866804429,label
28,71,2.008316044185609,label
29,68,1.4605934866804429,label
30,71,2.008316044185609,label
31,68,1.4605934866804429,label
32,73,2.37346441585572,label
33,73,2.37346441585572,label
34,76,2.9211869733608857,label
35,75,2.7386127875258306,label
36,73,2.37346441585572,label
37,72,2.1908902300206643,label
38,68,1.4605934866804429,label
39,73,2.37346441585572,label
40,78,3.286335345030997,label
41,82,4.016632088371218,label
42,78,3.286335345030997,label
43,75,2.7386127875258306,label
44,75,2.7386127875258306,label
45,77,3.1037611591959413,label
46,73,2.37346441585572,label
47,70,1.8257418583505538,label
48,71,9.49385766342288,label
49,82,7.48554161923727,label
50,80,3.6514837167011076,label
51,78,3.286335345030997,label
52,68,1.4605934866804429,label
53,71,9.49385766342288,label
54,70,1.8257418583505538,label
55,71,2.008316044185609,label
56,73,2.37346441585572,label
57,80,7.850689990907381,label
58,80,3.6514837167011076,label
59,78,8.215838362577491,label
60,73,2.37346441585572,label
61,73,2.37346441585572,label
62,73,2.37346441585572,label
63,71,2.008316044185609,label
64,75,2.7386127875258306,label
65,76,2.9211869733608857,label
66,78,3.286335345030997,label
67,74,11.8673220792786,label
68,73,2.37346441585572,label
69,71,2.008316044185609,label
70,70,1.8257418583505538,label
71,68,1.4605934866804429,label
72,73,9.128709291752768,label
73,71,2.008316044185609,label
74,78,11.137025335938377,label
75,74,2.556038601690775,label
76,74,2.556038601690775,label
77,68,10.041580220928045,label
78,71,9.49385766342288,label
79,71,2.008316044185609,label
80,75,8.763560920082657,label
81,73,2.37346441585572,label
82,80,3.6514837167011076,label
83,74,2.556038601690775,label
84,76,11.502173707608488,label
85,71,2.008316044185609,label
86,71,2.008316044185609,label
87,70,1.8257418583505538,label
88,71,9.49385766342288,label
89,71,2.008316044185609,label
90,76,2.9211869733608857,label
91,76,2.9211869733608857,label
92,78,8.215838362577491,label
93,71,2.008316044185609,label
94,71,2.008316044185609,label
95,68,1.4605934866804429,label
96,71,9.49385766342288,label
97,71,2.008316044185609,label
98,76,2.9211869733608857,label
99,76,2.9211869733608857,label
100,75,8.763560920082657,label
101,73,2.37346441585572,label
102,71,2.008316044185609,label
103,68,1.4605934866804429,label
104,71,2.008316044185609,label
105,73,9.128709291752768,label
106,73,2.37346441585572,label
107,73,2.37346441585572,label
108,72,2.1908902300206643,label
109,74,8.946135105917714,label
110,68,1.4605934866804429,label
111,71,2.008316044185609,label
112,68,1.4605934866804429,label
113,71,2.008316044185609,label
114,71,12.415044636783765,label
115,76,2.9211869733608857,label
116,76,8.580986734247602,label
117,73,2.37346441585572,label
118,71,2.008316044185609,label
119,71,9.49385766342288,label
120,71,2.008316044185609,label
121,68,1.4605934866804429,label
122,68,1.4605934866804429,label
123,71,2.008316044185609,label
124,76,2.9211869733608857,label
125,78,7.6681158050723255,label
126,76,2.9211869733608857,label
127,73,2.37346441585572,label
128,71,2.008316044185609,label
129,73,2.37346441585572,label
130,71,2.008316044185609,label
131,71,2.008316044185609,label
132,73,2.37346441585572,label
133,80,3.6514837167011076,label
134,78,3.286335345030997,label
135,75,2.7386127875258306,label
136,73,9.128709291752768,label
137,73,2.37346441585572,label
138,73,2.37346441585572,label
139,68,1.4605934866804429,label
140,71,2.008316044185609,label
141,76,8.580986734247602,label
142,76,2.9211869733608857,label
143,76,2.9211869733608857,label
144,68,1.4605934866804429,label
145,73,2.37346441585572,label
146,71,2.008316044185609,label
147,73,9.128709291752768,label
148,68,1.4605934866804429,label
149,76,2.9211869733608857,label
150,74,2.556038601690775,label
151,76,8.580986734247602,label
152,71,2.008316044185609,label
153,73,9.128709291752768,label
154,71,2.008316044185609,label
155,71,9.49385766342288,label
156,68,1.4605934866804429,label
157,74,2.556038601690775,label
158,74,2.556038601690775,label
159,76,8.580986734247602,label
160,71,2.008316044185609,label
161,71,2.008316044185609,label
162,68,1.4605934866804429,label
163,71,9.49385766342288,label
164,68,1.4605934866804429,label
165,74,2.556038601690775,label
166,74,2.556038601690775,label
167,76,8.580986734247602,label
168,75,22.639199043546867,label
169,75,2.7386127875258306,label
170,73,2.37346441585572,label
171,68,1.4605934866804429,label
172,68,1.4605934866804429,label
173,68,1.4605934866804429,label
174,75,2.7386127875258306,label
175,76,2.9211869733608857,label
176,76,2.9211869733608857,label
177,71,2.008316044185609,label
178,68,1.4605934866804429,label
179,68,1.4605934866804429,label
180,68,1.4605934866804429,label
181,68,1.4605934866804429,label
182,71,2.008316044185609,label
183,74,2.556038601690775,label
184,74,2.556038601690775,label
185,73,2.37346441585572,label
186,73,9.128709291752768,label
187,75,2.7386127875258306,label
188,73,2.37346441585572,label
189,73,2.37346441585572,label
190,73,2.37346441585572,label
191,76,2.9211869733608857,label
192,73,9.128709291752768,label
193,72,2.1908902300206643,label
194,71,2.008316044185609,label
195,68,1.4605934866804429,label
196,73,2.37346441585572,label
197,71,2.008316044185609,label
198,73,2.37346441585572,label
199,72,2.1908902300206643,label
200,80,3.6514837167011076,label
201,78,3.286335345030997,label
202,76,2.9211869733608857,label
203,71,2.008316044185609,label
204,73,2.37346441585572,label
205,71,2.008316044185609,label
206,73,2.37346441585572,label
207,73,2.37346441585572,label
208,78,3.286335345030997,label
209,76,2.9211869733608857,label
210,74,2.556038601690775,label
211,71,2.008316044185609,label
212,70,1.8257418583505538,label
213,73,2.37346441585572,label
214,71,2.008316044185609,label
215,71,2.008316044185609,label
216,76,2.9211869733608857,label
217,76,2.9211869733608857,label
218,76,2.9211869733608857,label
219,71,2.008316044185609,label
220,73,2.37346441585572,label
221,71,2.008316044185609,label
222,71,2.008316044185609,label
223,68,1.4605934866804429,label
224,76,8.580986734247602,label
225,73,2.37346441585572,label
226,74,2.556038601690775,label
227,73,9.128709291752768,label
228,73,2.37346441585572,label
229,77,3.1037611591959413,label
230,71,2.008316044185609,label
231,73,9.128709291752768,label
232,78,37.2451339103513,label
233,80,7.850689990907381,label
234,78,3.286335345030997,label
235,70,1.8257418583505538,label
236,73,2.37346441585572,label
237,73,2.37346441585572,label
238,73,2.37346441585572,label
239,68,1.4605934866804429,label
240,70,1.8257418583505538,label
241,73,2.37346441585572,label
242,76,2.9211869733608857,label
243,76,8.580986734247602,label
244,71,2.008316044185609,label
245,73,2.37346441585572,label
246,73,9.128709291752768,label
247,73,2.37346441585572,label
248,71,2.008316044185609,label
249,78,8.215838362577491,label
250,78,3.286335345030997,label
251,75,2.7386127875258306,label
252,71,2.008316044185609,label
253,71,2.008316044185609,label
254,71,2.008316044185609,label
255,71,12.415044636783765,label
256,71,2.008316044185609,label
257,78,3.286335345030997,label
258,73,2.37346441585572,label
259,76,2.9211869733608857,label
260,68,1.4605934866804429,label
261,71,2.008316044185609,label
262,68,1.4605934866804429,label
263,71,2.008316044185609,label
264,68,1.4605934866804429,label
265,78,8.215838362577491,label
266,76,2.9211869733608857,label
267,76,2.9211869733608857,label
268,68,10.041580220928045,label
269,71,2.008316044185609,label
270,71,2.008316044185609,label
271,71,2.008316044185609,label
272,71,2.008316044185609,label
273,73,9.128709291752768,label
274,76,2.9211869733608857,label
275,73,2.37346441585572,label
276,74,2.556038601690775,label
277,71,9.49385766342288,label
278,71,2.008316044185609,label
279,71,9.49385766342288,label
280,68,1.4605934866804429,label
281,71,2.008316044185609,label
282,76,2.9211869733608857,label
283,76,2.9211869733608857,label
284,76,2.9211869733608857,label
285,71,2.008316044185609,label
286,73,2.37346441585572,label
287,71,2.008316044185609,label
288,70,1.8257418583505538,label
289,68,1.4605934866804429,label
290,76,26.655831131918085,label
291,74,2.556038601690775,label
292,73,2.37346441585572,label
293,68,1.4605934866804429,label
294,72,2.1908902300206643,label
295,74,2.556038601690775,label
296,72,2.1908902300206643,label
297,70,1.8257418583505538,label
298,68,1.4605934866804429,label
299,78,3.286335345030997,label
300,76,2.9211869733608857,label
301,78,3.286335345030997,label
302,68,1.4605934866804429,label
303,73,2.37346441585572,label
304,71,2.008316044185609,label
305,73,9.128709291752768,label
306,68,1.4605934866804429,label
307,73,9.128709291752768,label
