"No.","average","variance","class"
0,72,3.8013155617496426,label
1,71,0.8198915917499229,label
2,72,0.8944271909999159,label
3,71,0.8198915917499229,label
4,71,0.8198915917499229,label
5,71,0.8198915917499229,label
6,71,0.8198915917499229,label
7,71,0.8198915917499229,label
8,71,0.8198915917499229,label
9,72,0.8944271909999159,label
10,72,0.8944271909999159,label
11,71,0.8198915917499229,label
12,71,0.8198915917499229,label
13,72,0.8944271909999159,label
14,72,0.8944271909999159,label
15,71,0.8198915917499229,label
16,72,0.8944271909999159,label
17,74,3.6522443632496566,label
18,73,0.9689627902499088,label
19,73,4.919349550499537,label
20,73,0.9689627902499088,label
21,73,0.9689627902499088,label
22,73,0.9689627902499088,label
23,73,3.7267799624996494,label
24,73,0.9689627902499088,label
25,72,0.8944271909999159,label
26,72,0.8944271909999159,label
27,72,3.8013155617496426,label
28,73,0.9689627902499088,label
29,71,0.8198915917499229,label
30,72,0.8944271909999159,label
31,73,0.9689627902499088,label
32,73,8.19891591749923,label
33,72,0.8944271909999159,label
34,73,0.9689627902499088,label
35,73,0.9689627902499088,label
36,73,0.9689627902499088,label
37,73,0.9689627902499088,label
38,73,4.919349550499537,label
39,74,1.043498389499902,label
40,73,0.9689627902499088,label
41,73,0.9689627902499088,label
42,74,1.043498389499902,label
43,73,3.7267799624996494,label
44,72,0.8944271909999159,label
45,73,0.9689627902499088,label
46,73,0.9689627902499088,label
47,73,0.9689627902499088,label
48,74,1.043498389499902,label
49,73,0.9689627902499088,label
50,74,1.043498389499902,label
51,73,0.9689627902499088,label
52,73,3.7267799624996494,label
53,75,1.118033988749895,label
54,74,1.043498389499902,label
55,74,1.043498389499902,label
56,74,1.043498389499902,label
57,74,1.043498389499902,label
58,74,1.043498389499902,label
59,73,3.7267799624996494,label
60,71,0.8198915917499229,label
61,72,0.8944271909999159,label
62,72,0.8944271909999159,label
63,72,0.8944271909999159,label
64,73,0.9689627902499088,label
65,72,0.8944271909999159,label
66,73,0.9689627902499088,label
67,72,0.8944271909999159,label
68,72,0.8944271909999159,label
69,71,0.8198915917499229,label
70,71,0.8198915917499229,label
71,72,0.8944271909999159,label
72,72,0.8944271909999159,label
73,72,0.8944271909999159,label
74,73,3.7267799624996494,label
75,73,0.9689627902499088,label
76,74,1.043498389499902,label
77,73,9.391485505499118,label
78,73,0.9689627902499088,label
79,73,0.9689627902499088,label
80,72,0.8944271909999159,label
81,73,0.9689627902499088,label
82,72,0.8944271909999159,label
83,71,0.8198915917499229,label
84,71,0.8198915917499229,label
85,71,0.8198915917499229,label
86,71,0.8198915917499229,label
87,71,3.8758511609996353,label
88,71,0.8198915917499229,label
89,71,0.8198915917499229,label
90,71,0.8198915917499229,label
91,72,0.8944271909999159,label
92,72,0.8944271909999159,label
93,73,4.919349550499537,label
94,74,1.043498389499902,label
95,75,1.118033988749895,label
96,74,3.6522443632496566,label
97,74,1.043498389499902,label
98,75,1.118033988749895,label
99,73,0.9689627902499088,label
100,73,3.7267799624996494,label
101,72,0.8944271909999159,label
102,72,0.8944271909999159,label
103,72,3.8013155617496426,label
104,72,0.8944271909999159,label
105,72,0.8944271909999159,label
106,72,0.8944271909999159,label
107,72,0.8944271909999159,label
108,72,3.8013155617496426,label
109,72,0.8944271909999159,label
110,71,0.8198915917499229,label
111,71,0.8198915917499229,label
112,71,0.8198915917499229,label
113,72,4.993885149749531,label
114,71,0.8198915917499229,label
115,74,7.602631123499285,label
116,78,7.304488726499313,label
117,88,0.8198915917499229,label
118,91,1.4161763857498668,label
119,91,1.4161763857498668,label
120,94,2.8323527714997336,label
121,91,0.37267799624996495,label
122,89,1.2671051872498809,label
123,80,0.5962847939999439,label
124,80,0.5962847939999439,label
125,80,0.5962847939999439,label
126,102,3.1304951684997055,label
127,102,3.1304951684997055,label
128,100,2.9814239699997196,label
129,100,2.9814239699997196,label
130,96,2.6832815729997477,label
131,95,2.6087459737497545,label
132,73,0.9689627902499088,label
133,72,0.8944271909999159,label
134,72,0.8944271909999159,label
135,72,0.8944271909999159,label
136,72,0.8944271909999159,label
137,73,0.9689627902499088,label
138,72,0.8944271909999159,label
139,73,3.7267799624996494,label
140,73,4.919349550499537,label
141,72,0.8944271909999159,label
142,72,0.8944271909999159,label
143,72,3.8013155617496426,label
144,73,0.9689627902499088,label
145,72,0.8944271909999159,label
146,72,0.8944271909999159,label
147,74,1.043498389499902,label
148,75,10.956733089748969,label
149,73,0.9689627902499088,label
150,73,0.9689627902499088,label
151,74,1.043498389499902,label
152,73,0.9689627902499088,label
153,72,0.8944271909999159,label
154,72,0.8944271909999159,label
155,72,0.8944271909999159,label
156,73,3.7267799624996494,label
157,73,3.7267799624996494,label
158,73,3.7267799624996494,label
159,74,1.043498389499902,label
160,73,0.9689627902499088,label
161,74,3.6522443632496566,label
162,75,1.118033988749895,label
163,74,3.6522443632496566,label
164,74,3.6522443632496566,label
165,74,1.043498389499902,label
166,74,1.043498389499902,label
167,73,0.9689627902499088,label
168,73,3.7267799624996494,label
169,73,0.9689627902499088,label
170,73,0.9689627902499088,label
171,74,1.043498389499902,label
172,73,0.9689627902499088,label
173,74,3.6522443632496566,label
174,73,0.9689627902499088,label
175,73,3.5031731647496707,label
176,74,1.043498389499902,label
177,73,0.9689627902499088,label
178,72,0.8944271909999159,label
179,72,4.993885149749531,label
180,72,0.8944271909999159,label
