@relation traffic_pattern
@attribute data_ave real
@attribute data_var real
@attribute class {label}

@data
70,1.2909944487358056,label
71,6.713171133426189,label
73,1.6782927833565473,label
73,1.6782927833565473,label
73,1.6782927833565473,label
73,6.454972243679028,label
73,1.6782927833565473,label
73,1.6782927833565473,label
70,1.2909944487358056,label
69,1.161895003862225,label
69,1.161895003862225,label
72,1.5491933384829668,label
73,6.454972243679028,label
71,1.420093893609386,label
72,8.649662806529898,label
72,1.5491933384829668,label
72,1.5491933384829668,label
69,1.161895003862225,label
69,1.161895003862225,label
69,1.161895003862225,label
71,1.420093893609386,label
72,1.5491933384829668,label
73,6.454972243679028,label
72,1.5491933384829668,label
71,1.420093893609386,label
72,1.5491933384829668,label
69,1.161895003862225,label
69,1.161895003862225,label
71,1.420093893609386,label
72,1.5491933384829668,label
72,1.5491933384829668,label
72,6.5840716885526085,label
73,1.6782927833565473,label
72,1.5491933384829668,label
71,1.420093893609386,label
69,1.161895003862225,label
71,1.420093893609386,label
72,1.5491933384829668,label
73,1.6782927833565473,label
73,1.6782927833565473,label
73,6.454972243679028,label
73,1.6782927833565473,label
73,1.6782927833565473,label
71,1.420093893609386,label
69,1.161895003862225,label
69,1.161895003862225,label
71,1.420093893609386,label
72,1.5491933384829668,label
71,1.420093893609386,label
72,8.649662806529898,label
72,1.5491933384829668,label
73,1.6782927833565473,label
70,1.2909944487358056,label
71,1.420093893609386,label
72,1.5491933384829668,label
72,1.5491933384829668,label
72,1.5491933384829668,label
72,1.5491933384829668,label
72,1.5491933384829668,label
72,1.5491933384829668,label
72,1.5491933384829668,label
69,1.161895003862225,label
75,1.9364916731037085,label
75,6.196773353931867,label
75,1.9364916731037085,label
74,1.8073922282301278,label
74,1.8073922282301278,label
75,6.196773353931867,label
71,1.420093893609386,label
71,8.778762251403478,label
71,1.420093893609386,label
73,1.6782927833565473,label
73,1.6782927833565473,label
74,1.8073922282301278,label
73,1.6782927833565473,label
73,1.6782927833565473,label
75,1.9364916731037085,label
73,1.6782927833565473,label
72,1.5491933384829668,label
73,1.6782927833565473,label
74,6.325872798805447,label
74,6.325872798805447,label
72,1.5491933384829668,label
72,1.5491933384829668,label
73,1.6782927833565473,label
69,1.161895003862225,label
69,1.161895003862225,label
68,1.0327955589886444,label
71,1.420093893609386,label
71,1.420093893609386,label
72,1.5491933384829668,label
72,1.5491933384829668,label
72,1.5491933384829668,label
73,6.454972243679028,label
70,1.2909944487358056,label
70,1.2909944487358056,label
73,1.6782927833565473,label
74,6.325872798805447,label
73,1.6782927833565473,label
72,1.5491933384829668,label
74,1.8073922282301278,label
75,6.196773353931867,label
71,1.420093893609386,label
71,1.420093893609386,label
74,1.8073922282301278,label
74,1.8073922282301278,label
73,1.6782927833565473,label
73,1.6782927833565473,label
75,13.942740046346701,label
74,1.8073922282301278,label
71,6.713171133426189,label
71,1.420093893609386,label
70,1.2909944487358056,label
74,1.8073922282301278,label
72,1.5491933384829668,label
73,6.454972243679028,label
72,1.5491933384829668,label
73,1.6782927833565473,label
74,1.8073922282301278,label
69,1.161895003862225,label
71,1.420093893609386,label
73,6.454972243679028,label
74,1.8073922282301278,label
74,1.8073922282301278,label
74,1.8073922282301278,label
74,1.8073922282301278,label
76,8.133265027035575,label
73,1.6782927833565473,label
73,6.454972243679028,label
74,1.8073922282301278,label
75,1.9364916731037085,label
75,1.9364916731037085,label
72,1.5491933384829668,label
73,1.6782927833565473,label
74,1.8073922282301278,label
72,1.5491933384829668,label
71,1.420093893609386,label
73,1.6782927833565473,label
74,1.8073922282301278,label
74,6.325872798805447,label
72,1.5491933384829668,label
73,6.454972243679028,label
72,1.5491933384829668,label
71,6.713171133426189,label
70,1.2909944487358056,label
72,1.5491933384829668,label
75,1.9364916731037085,label
74,1.8073922282301278,label
75,1.9364916731037085,label
73,1.6782927833565473,label
74,1.8073922282301278,label
72,1.5491933384829668,label
69,1.161895003862225,label
71,1.420093893609386,label
74,1.8073922282301278,label
74,1.8073922282301278,label
76,2.065591117977289,label
76,2.065591117977289,label
76,2.065591117977289,label
75,1.9364916731037085,label
71,1.420093893609386,label
71,1.420093893609386,label
73,1.6782927833565473,label
74,1.8073922282301278,label
74,6.325872798805447,label
74,1.8073922282301278,label
75,1.9364916731037085,label
75,1.9364916731037085,label
71,6.713171133426189,label
74,1.8073922282301278,label
76,2.065591117977289,label
76,2.065591117977289,label
78,2.32379000772445,label
79,2.4528894525980305,label
79,2.4528894525980305,label
74,1.8073922282301278,label
72,1.5491933384829668,label
73,1.6782927833565473,label
73,1.6782927833565473,label
73,1.6782927833565473,label
72,1.5491933384829668,label
73,1.6782927833565473,label
72,1.5491933384829668,label
72,1.5491933384829668,label
71,6.713171133426189,label
69,1.161895003862225,label
72,1.5491933384829668,label
72,1.5491933384829668,label
73,1.6782927833565473,label
73,6.454972243679028,label
72,1.5491933384829668,label
73,1.6782927833565473,label
71,1.420093893609386,label
70,1.2909944487358056,label
70,1.2909944487358056,label
72,1.5491933384829668,label
74,1.8073922282301278,label
73,1.6782927833565473,label
74,1.8073922282301278,label
73,1.6782927833565473,label
73,1.6782927833565473,label
72,1.5491933384829668,label
70,1.2909944487358056,label
70,1.2909944487358056,label
74,1.8073922282301278,label
75,1.9364916731037085,label
74,1.8073922282301278,label
73,1.6782927833565473,label
73,1.6782927833565473,label
75,8.262364471909155,label
70,1.2909944487358056,label
69,1.161895003862225,label
72,1.5491933384829668,label
73,1.6782927833565473,label
72,1.5491933384829668,label
71,1.420093893609386,label
71,1.420093893609386,label
72,1.5491933384829668,label
69,1.161895003862225,label
68,1.0327955589886444,label
68,1.0327955589886444,label
71,1.420093893609386,label
72,1.5491933384829668,label
75,1.9364916731037085,label
75,1.9364916731037085,label
76,2.065591117977289,label
77,2.1946905628508695,label
76,2.065591117977289,label
75,1.9364916731037085,label
73,1.6782927833565473,label
73,1.6782927833565473,label
72,1.5491933384829668,label
72,1.5491933384829668,label
71,8.778762251403478,label
72,6.5840716885526085,label
69,1.161895003862225,label
69,1.161895003862225,label
71,1.420093893609386,label
74,6.325872798805447,label
73,1.6782927833565473,label
74,1.8073922282301278,label
74,1.8073922282301278,label
75,1.9364916731037085,label
77,15.750132274576828,label
73,1.6782927833565473,label
74,6.325872798805447,label
74,1.8073922282301278,label
74,1.8073922282301278,label
74,1.8073922282301278,label
71,1.420093893609386,label
72,1.5491933384829668,label
71,6.713171133426189,label
68,1.0327955589886444,label
68,1.0327955589886444,label
68,1.0327955589886444,label
71,1.420093893609386,label
71,1.420093893609386,label
72,1.5491933384829668,label
72,1.5491933384829668,label
72,1.5491933384829668,label
71,1.420093893609386,label
71,1.420093893609386,label
69,1.161895003862225,label
72,1.5491933384829668,label
72,1.5491933384829668,label
72,1.5491933384829668,label
73,1.6782927833565473,label
71,1.420093893609386,label
71,1.420093893609386,label
68,1.0327955589886444,label
68,1.0327955589886444,label
69,1.161895003862225,label
71,1.420093893609386,label
72,6.5840716885526085,label
72,1.5491933384829668,label
