"No.","average","variance","class"
0,70,1.2909944487358056,label
1,71,6.713171133426189,label
2,73,1.6782927833565473,label
3,73,1.6782927833565473,label
4,73,1.6782927833565473,label
5,73,6.454972243679028,label
6,73,1.6782927833565473,label
7,73,1.6782927833565473,label
8,70,1.2909944487358056,label
9,69,1.161895003862225,label
10,69,1.161895003862225,label
11,72,1.5491933384829668,label
12,73,6.454972243679028,label
13,71,1.420093893609386,label
14,72,8.649662806529898,label
15,72,1.5491933384829668,label
16,72,1.5491933384829668,label
17,69,1.161895003862225,label
18,69,1.161895003862225,label
19,69,1.161895003862225,label
20,71,1.420093893609386,label
21,72,1.5491933384829668,label
22,73,6.454972243679028,label
23,72,1.5491933384829668,label
24,71,1.420093893609386,label
25,72,1.5491933384829668,label
26,69,1.161895003862225,label
27,69,1.161895003862225,label
28,71,1.420093893609386,label
29,72,1.5491933384829668,label
30,72,1.5491933384829668,label
31,72,6.5840716885526085,label
32,73,1.6782927833565473,label
33,72,1.5491933384829668,label
34,71,1.420093893609386,label
35,69,1.161895003862225,label
36,71,1.420093893609386,label
37,72,1.5491933384829668,label
38,73,1.6782927833565473,label
39,73,1.6782927833565473,label
40,73,6.454972243679028,label
41,73,1.6782927833565473,label
42,73,1.6782927833565473,label
43,71,1.420093893609386,label
44,69,1.161895003862225,label
45,69,1.161895003862225,label
46,71,1.420093893609386,label
47,72,1.5491933384829668,label
48,71,1.420093893609386,label
49,72,8.649662806529898,label
50,72,1.5491933384829668,label
51,73,1.6782927833565473,label
52,70,1.2909944487358056,label
53,71,1.420093893609386,label
54,72,1.5491933384829668,label
55,72,1.5491933384829668,label
56,72,1.5491933384829668,label
57,72,1.5491933384829668,label
58,72,1.5491933384829668,label
59,72,1.5491933384829668,label
60,72,1.5491933384829668,label
61,69,1.161895003862225,label
62,75,1.9364916731037085,label
63,75,6.196773353931867,label
64,75,1.9364916731037085,label
65,74,1.8073922282301278,label
66,74,1.8073922282301278,label
67,75,6.196773353931867,label
68,71,1.420093893609386,label
69,71,8.778762251403478,label
70,71,1.420093893609386,label
71,73,1.6782927833565473,label
72,73,1.6782927833565473,label
73,74,1.8073922282301278,label
74,73,1.6782927833565473,label
75,73,1.6782927833565473,label
76,75,1.9364916731037085,label
77,73,1.6782927833565473,label
78,72,1.5491933384829668,label
79,73,1.6782927833565473,label
80,74,6.325872798805447,label
81,74,6.325872798805447,label
82,72,1.5491933384829668,label
83,72,1.5491933384829668,label
84,73,1.6782927833565473,label
85,69,1.161895003862225,label
86,69,1.161895003862225,label
87,68,1.0327955589886444,label
88,71,1.420093893609386,label
89,71,1.420093893609386,label
90,72,1.5491933384829668,label
91,72,1.5491933384829668,label
92,72,1.5491933384829668,label
93,73,6.454972243679028,label
94,70,1.2909944487358056,label
95,70,1.2909944487358056,label
96,73,1.6782927833565473,label
97,74,6.325872798805447,label
98,73,1.6782927833565473,label
99,72,1.5491933384829668,label
100,74,1.8073922282301278,label
101,75,6.196773353931867,label
102,71,1.420093893609386,label
103,71,1.420093893609386,label
104,74,1.8073922282301278,label
105,74,1.8073922282301278,label
106,73,1.6782927833565473,label
107,73,1.6782927833565473,label
108,75,13.942740046346701,label
109,74,1.8073922282301278,label
110,71,6.713171133426189,label
111,71,1.420093893609386,label
112,70,1.2909944487358056,label
113,74,1.8073922282301278,label
114,72,1.5491933384829668,label
115,73,6.454972243679028,label
116,72,1.5491933384829668,label
117,73,1.6782927833565473,label
